Variable_Name,Description,Variable_Type,Leakage,Keep_Feature_Int,Reason,Drop,Flag,flag_vars,Transform,trans_vars,Cap,cap_flags,cap_val_lower,cap_val_upper,miss_flags,miss_impute_val,Missing Count,Min,Max
acc_now_delinq,The number of accounts on which the borrower is now delinquent.,"Bureau - Number, Accounts, Delq",No,Yes,Bureau pull at application,0,1,f_acc_now_delinq_gt0,0,,0,,,,,,,,
acc_open_past_24mths,Number of trades opened in past 24 months.,"Bureau - Number, Accounts, L24M",No,Yes,Bureau pull at application,0,0,,0,,1,F_CAPPED_NUMACCTS,,21.0,f_miss_block5,-1.0,7495.0,0.0,21.0
addr_state,The state provided by the borrower in the loan application,Applicant,No,Yes,Available at application; to check multicollinearity  with other geo variables,0,0,,1,addr_state_grouped,0,,,,,,,,
all_util,Balance to credit limit on all trades,Bureau - Utility Rate,No,Yes,Bureau pull at application,0,0,,0,,1,F_OVERLIMIT,,100.0,f_miss_block1,-1.0,767670.0,0.0,100.0
annual_inc,The annual income provided by the borrower during registration.,Applicant,No,Yes,Available at application,0,0,,0,,1,F_CAPPED_INC,5000.0,300000.0,,,,,
annual_inc_joint,The combined self-reported annual income provided by the co-borrowers during registration,Applicant,No,Yes,Available at application; risk indicator,1,0,,0,,0,,,,,,,,
application_type,Indicates whether the loan is an individual application or a joint application with two co-borrowers,Application,No,Yes,Available at application; might differentiate risk quality,1,0,,0,,0,,,,,,,,
avg_cur_bal,Average current balance of all accounts,"Bureau - Amount, Balance",No,Yes,Bureau pull at application,0,0,,0,,1,F_CAPPED_AMOUNT,,144483.0,f_miss_block2,-1.0,27753.0,0.0,144483.0
bc_open_to_buy,Total open to buy on revolving bankcards.,"Bureau - Amount, Limit",No,Yes,Bureau pull at application,0,0,,0,,1,F_CAPPED_AMOUNT,,140795.0,f_miss_block3,-1.0,18098.0,0.0,140795.0
bc_util,Ratio of total current balance to high credit/credit limit for all bankcard accounts.,Bureau - Utility Rate,No,Yes,Bureau pull at application,0,0,,0,,1,F_OVERLIMIT,,100.0,f_miss_block3,-1.0,18730.0,0.0,100.0
chargeoff_within_12_mths,Number of charge-offs within 12 months,"Bureau - Number, Delq",No,Yes,Check if updated post-loan,0,1,f_chargeoff_within_12_mths_gt0,0,,0,,,,,,,,
collection_recovery_fee,post charge off collection fee,Loan payment status,Yes,No,Post-origination info; leakage,1,0,,0,,0,,,,,,,,
collections_12_mths_ex_med,Number of collections in 12 months excluding medical collections,"Bureau - Number, Delq",No,Yes,Bureau pull at application,0,1,f_collections_12_mths_ex_med_gt0,0,,0,,,,,,,,
debt_settlement_flag,,"Customer, Hardship",Yes,No,Post-origination info; leakage,1,0,,0,,0,,,,,,,,
debt_settlement_flag_date,,"Customer, Hardship",Yes,No,Post-origination info; leakage,1,0,,0,,0,,,,,,,,
deferral_term,,"Customer, Hardship",Yes,No,Post-origination info; leakage,1,0,,0,,0,,,,,,,,
delinq_2yrs,The number of 30+ days past-due incidences of delinquency in the borrower's credit file for the past 2 years,"Bureau - Number, Accounts, Delq",No,Yes,Bureau pull at application,0,0,,0,,1,F_CAPPED_NUMACCTS,,6.0,,,,,
delinq_amnt,The past-due amount owed for the accounts on which the borrower is now delinquent.,"Bureau - Amount, Delq",No,Yes,Assumed to be part of bureau data pulled during application; retained under the assumption no post-loan updates exist in this dataset,0,1,f_delinq_amnt_gt0,0,,0,,,,,,,,
desc,Loan description provided by the borrower,Application,No,Check,"Likely text variable, to review later",1,0,,0,,0,,,,,,,,
disbursement_method,,"Customer, Hardship",Yes,No,Post-origination info; leakage,1,0,,0,,0,,,,,,,,
dti,"A ratio calculated using the borrower’s total monthly debt payments on the total debt obligations, excluding mortgage and the requested LC loan, divided by the borrower’s self-reported monthly income.",Applicant,No,Yes,Available at application; risk indicator,0,0,,0,,0,,,,,,,,
dti_joint,"A ratio calculated using the co-borrowers' total monthly payments on the total debt obligations, excluding mortgages and the requested LC loan, divided by the co-borrowers' combined self-reported monthly income",Applicant,No,Yes,Available at application; risk indicator,1,0,,0,,0,,,,,,,,
earliest_cr_line,The month the borrower's earliest reported credit line was opened,"Bureau - Months, earliest",No,Yes,Bureau pull at application,0,0,,1,mnths_since_earliest_cr_line,0,,,,,,,,
emp_length,Employment length in years. Possible values are between 0 and 10 where 0 means less than one year and 10 means ten or more years. ,Applicant,No,Yes,Available at application; risk indicator,0,0,,1,emp_length_num,0,,,,,,,,
emp_title,The job title supplied by the Borrower when applying for the loan.*,Applicant,No,Check,"Likely text variable, to review later",1,0,,0,,0,,,,,,,,
fico_range_high,The upper boundary of range the borrower’s FICO belongs to.,Bureau - Score,No,Yes,Available at application; risk indicator,0,0,,0,,0,,,,,,,,
fico_range_low,The lower boundary of range the borrower’s FICO belongs to.,Bureau - Score,No,Yes,Available at application; risk indicator,0,0,,0,,0,,,,,,,,
funded_amnt,The total amount committed to that loan at that point in time.,Loan Funding,Check,Check,Could reflect LC's decision based on applicant's risk profile,1,0,,0,,0,,,,,,,,
funded_amnt_inv,The total amount committed by investors for that loan at that point in time.,Loan Funding,Yes,No,Post-loan; reflects investor choices,1,0,,0,,0,,,,,,,,
grade,LC assigned loan grade,Application,Yes,No,LendingClub’s internal risk assessment; leakage,1,0,,0,,0,,,,,,,,
hardship_amount,,"Customer, Hardship",Yes,No,Post-origination info; leakage,1,0,,0,,0,,,,,,,,
hardship_dpd,,"Customer, Hardship",Yes,No,Post-origination info; leakage,1,0,,0,,0,,,,,,,,
hardship_end_date,,"Customer, Hardship",Yes,No,Post-origination info; leakage,1,0,,0,,0,,,,,,,,
hardship_flag,,"Customer, Hardship",Yes,No,Post-origination info; leakage,1,0,,0,,0,,,,,,,,
hardship_last_payment_amount,\\\\\\\\\\\,"Customer, Hardship",Yes,No,Post-origination info; leakage,1,0,,0,,0,,,,,,,,
hardship_length,,"Customer, Hardship",Yes,No,Post-origination info; leakage,1,0,,0,,0,,,,,,,,
hardship_loan_status,,"Customer, Hardship",Yes,No,Post-origination info; leakage,1,0,,0,,0,,,,,,,,
hardship_payoff_balance_amount,,"Customer, Hardship",Yes,No,Post-origination info; leakage,1,0,,0,,0,,,,,,,,
hardship_reason,,"Customer, Hardship",Yes,No,Post-origination info; leakage,1,0,,0,,0,,,,,,,,
hardship_start_date,,"Customer, Hardship",Yes,No,Post-origination info; leakage,1,0,,0,,0,,,,,,,,
hardship_status,,"Customer, Hardship",Yes,No,Post-origination info; leakage,1,0,,0,,0,,,,,,,,
hardship_type,,"Customer, Hardship",Yes,No,Post-origination info; leakage,1,0,,0,,0,,,,,,,,
home_ownership,"The home ownership status provided by the borrower during registration. Our values are: RENT, OWN, MORTGAGE, OTHER.",Applicant,No,Yes,Available at application; risk indicator,0,0,,1,home_ownership_grouped,0,,,,,,,,
id,A unique LC assigned ID for the loan listing.,Identifier,No,No,application identifier,1,0,,0,,0,,,,,,,,
il_util,Ratio of total current balance to high credit/credit limit on all install acct,Bureau - Utility Rate,No,Yes,Bureau pull at application,0,0,,0,,1,F_OVERLIMIT,,100.0,f_miss_il_util,-1.0,807342.0,0.0,100.0
initial_list_status,"The initial listing status of the loan. Possible values are – W, F",Loan Funding,No,Yes,"Likely not related to borrower’s credit risk, keep for now",1,0,,0,,0,,,,,,,,
inq_fi,Number of personal finance inquiries,"Bureau - Number, Inquiry",No,Yes,Bureau pull at application,0,0,,0,,0,,,,f_miss_block1,-1.0,767653.0,0.0,48.0
inq_last_12m,Number of credit inquiries in past 12 months,"Bureau - Number, Inquiry",No,Yes,Bureau pull at application,0,0,,0,,0,,,,f_miss_block1,0.0,767654.0,0.0,49.0
inq_last_6mths,The number of inquiries by creditors during the past 6 months.,"Bureau - Number, Inquiry",No,Yes,Bureau pull at application,0,0,,0,,0,,,,,0.0,1.0,0.0,8.0
installment,The monthly payment owed by the borrower if the loan originates.,Loan Funding,No,Yes,"Based on loan amount, term, rate; could be redundant",0,0,,0,,0,,,,,,,,
int_rate,Interest Rate on the loan,Loan Funding,No,Yes,"Assigned by LC, but often used in practice",0,0,,0,,0,,,,,,,,
issue_d,The month which the loan was funded,Application,No,Check,Likely not related to borrower’s credit risk,1,0,,0,,0,,,,,,,,
last_credit_pull_d,The most recent month LC pulled credit for this loan,Bureau,Yes,No,Post-loan monitoring; leakage,1,0,,0,,0,,,,,,,,
last_fico_range_high,The last upper boundary of range the borrower’s FICO belongs to pulled.,Bureau - Score,Yes,No,Post-loan monitoring; leakage,1,0,,0,,0,,,,,,,,
last_fico_range_low,The last lower boundary of range the borrower’s FICO belongs to pulled.,Bureau - Score,Yes,No,Post-loan monitoring; leakage,1,0,,0,,0,,,,,,,,
last_pymnt_amnt,Last total payment amount received,Loan payment status,Yes,No,Post-origination info; leakage,1,0,,0,,0,,,,,,,,
